time_step,total_population,resource_concentration,genotype_0_density,genotype_1_density,genotype_2_density,genotype_3_density,genotype_4_density,genotype_5_density,genotype_6_density,genotype_7_density,genotype_8_density,genotype_9_density,genotype_10_density,genotype_11_density,genotype_12_density,genotype_13_density,genotype_14_density,genotype_15_density,genotype_16_density,genotype_17_density,genotype_18_density,genotype_19_density,mutation_frequency,cooperation_index,competition_index,mean_fitness,mean_resistance,mean_efficiency,biofilm_fraction,hgt_events,divisions,deaths,phase_lag,phase_log,phase_stationary,phase_death,mean_antibiotic,mean_biofilm,cumulative_mutations,cumulative_hgt,total_resource_consumed
39,9761,22.365115,0.323942,0.338797,0.335109,0.000307,0.0,0.0,0.000205,0.0,0.0,0.0,0.0,0.0,0.0,0.00082,0.0,0.000307,0.00041,0.000102,0.0,0.0,0.010216,0.377679,0.016497,0.539246,0.07335,1.015271,0.759144,0,881,524,2907,405,6449,0,0.0,0.091591,213,13,183421.0394
40,10214,22.511088,0.323967,0.337967,0.335716,0.000294,9.8e-05,0.0,0.000196,0.0,0.0,0.0,0.0,0.0,0.0,0.000783,0.0,0.000392,0.000392,0.000196,0.0,0.0,0.010055,0.374595,0.017541,0.529791,0.073033,1.016913,0.75328,2,1094,641,2797,1394,6023,0,0.0,0.097881,224,15,194988.2783
41,9437,22.725048,0.323832,0.337183,0.336654,0.000318,0.0,0.0,0.000212,0.0,0.0,0.0,0.0,0.0,0.0,0.000742,0.0,0.000424,0.000424,0.000212,0.0,0.0,0.0,0.421354,0.017888,0.59395,0.073057,1.016944,0.847515,0,0,777,2589,0,6848,0,0.0,0.103378,224,15,203347.758
42,9698,22.901837,0.319757,0.33677,0.341204,0.000206,0.0,0.0,0.000206,0.0,0.0,0.0,0.0,0.0,0.0,0.000722,0.0,0.000516,0.000412,0.000206,0.0,0.0,0.007792,0.39341,0.018733,0.54697,0.072758,1.015226,0.7914,0,770,509,2454,764,6480,0,0.0,0.109208,230,15,213655.8305
43,10267,23.082833,0.320152,0.33632,0.34119,0.000195,0.0,0.0,0.000292,0.0,0.0,0.0,0.0,0.0,0.0,0.000682,0.0,0.000584,0.00039,0.000195,0.0,0.0,0.009306,0.377173,0.019057,0.524869,0.072528,1.015972,0.759326,0,1182,613,3490,715,6062,0,0.0,0.114409,241,15,223409.3297
44,9431,23.266185,0.320327,0.335913,0.341215,0.000212,0.0,0.0,0.000318,0.0,0.0,0.0,0.0,0.0,0.0,0.000742,0.0,0.000636,0.000424,0.000212,0.0,0.0,0.0,0.436253,0.019827,0.593579,0.072684,1.01604,0.877638,0,0,836,2566,633,6232,0,0.0,0.119973,241,15,233548.3949
45,10379,23.415268,0.320937,0.335003,0.341459,0.000193,0.0,0.0,0.000289,9.6e-05,0.0,0.0,0.0,0.0,0.0,0.000867,0.0,0.000578,0.000385,0.000193,0.0,0.0,0.011165,0.379976,0.020492,0.511748,0.073198,1.015776,0.763657,5,1433,485,3127,1369,5883,0,0.0,0.125786,257,20,245453.5598
46,9524,23.629853,0.321294,0.336098,0.339983,0.00021,0.0,0.0,0.00021,0.000105,0.0,0.0,0.0,0.0,0.0,0.00084,0.0,0.00063,0.00042,0.00021,0.0,0.0,0.0,0.44498,0.021049,0.593854,0.073095,1.015745,0.893742,0,0,855,2852,0,6672,0,0.0,0.131066,257,20,254429.471
47,9643,23.81976,0.321269,0.337654,0.338588,0.000207,0.0,0.0,0.000207,0.0,0.0,0.0,0.0,0.0,0.0,0.00083,0.0,0.000622,0.000415,0.000207,0.0,0.0,0.005908,0.415287,0.021577,0.552249,0.073157,1.016858,0.833973,0,677,558,2815,549,6279,0,0.0,0.136299,261,20,264496.9386
48,10284,23.969279,0.321179,0.336153,0.339751,0.000194,0.0,0.0,0.000194,0.0,0.0,0.0,0.0,0.0,0.0,0.000875,0.0,0.000875,0.000389,0.000292,0.0,9.7e-05,0.008299,0.394505,0.022023,0.525006,0.073014,1.0166,0.793077,0,1205,564,3021,1353,5910,0,0.0,0.142034,271,20,276825.6259
49,9455,24.183809,0.321946,0.33559,0.339609,0.000212,0.0,0.0,0.000212,0.0,0.0,0.0,0.0,0.0,0.0,0.000952,0.0,0.000846,0.000317,0.000212,0.0,0.000106,0.0,0.451072,0.022354,0.594365,0.072932,1.016635,0.906822,0,0,829,2776,0,6679,0,0.0,0.147134,271,20,286142.1853
50,9552,24.348699,0.327157,0.333333,0.336369,0.000314,0.0,0.0,0.000209,0.000105,0.0,0.0,0.0,0.0,0.0,0.001047,0.0,0.000838,0.000314,0.000209,0.0,0.000105,0.006579,0.426293,0.022757,0.556684,0.073081,1.016816,0.855946,6,608,511,2208,1024,6320,0,0.0,0.152866,275,26,298200.7539
51,10241,24.517944,0.328581,0.330632,0.337565,0.000293,0.0,0.0,0.000195,9.8e-05,0.0,0.0,0.0,0.0,0.0,0.001172,0.0,0.000879,0.000293,0.000195,0.0,9.8e-05,0.004862,0.399107,0.023448,0.523025,0.073141,1.016332,0.801191,0,1234,545,3338,960,5943,0,0.0,0.157935,281,26,309631.0136
52,9429,24.708062,0.328349,0.331,0.337363,0.000318,0.0,0.0,0.000212,0.0,0.0,0.0,0.0,0.0,0.0,0.001273,0.0,0.000955,0.000318,0.000106,0.0,0.000106,0.0,0.457493,0.023916,0.594574,0.073096,1.016572,0.917913,0,0,812,2601,484,6344,0,0.0,0.163072,281,26,320449.0255
53,9888,24.857945,0.326557,0.332524,0.337985,0.000303,0.0,0.000101,0.000202,0.0,0.0,0.0,0.0,0.0,0.0,0.001011,0.0,0.000809,0.000303,0.000101,0.0,0.000101,0.003102,0.414317,0.024322,0.53652,0.073136,1.017779,0.83212,0,967,508,2553,1336,5999,0,0.0,0.168561,284,26,333393.1828
54,10936,25.012932,0.324799,0.333486,0.338058,0.000366,0.0,9.1e-05,0.000366,9.1e-05,0.0,0.0,0.0,0.0,0.0,0.001097,0.0,0.001006,0.000366,9.1e-05,0.0,0.000183,0.011561,0.387503,0.024564,0.501097,0.073023,1.019017,0.778438,0,1730,682,4120,1247,5569,0,0.0,0.173427,304,26,345718.3306
55,9879,25.20642,0.324426,0.335155,0.336674,0.000304,0.0,0.000101,0.000405,0.000101,0.0,0.0,0.0,0.0,0.0,0.001215,0.0,0.001012,0.000405,0.000101,0.0,0.000101,0.0,0.463446,0.024988,0.595699,0.072928,1.018874,0.93056,2,0,1057,3283,430,6166,0,0.0,0.178209,304,28,356534.779
